MALDIVES CUSTOMS SERVICE,,,,,,,
Tariff & Statistics Section,,,,,,,
,,,,,,,
,,,,,,,
Total Merchandise Exports in 2021 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 23/03/2022 ,,
,,,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) ,,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,BELGIUM," 6,282.81 "," 369,442.56 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CANADA," 1,627.37 "," 101,058.95 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CYPRUS," 7,403.46 "," 422,280.42 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CZECH REPUBLIC," 4,103.93 "," 53,304.75 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,DENMARK, 308.40 ," 18,954.26 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,FRANCE," 457,752.82 "," 30,522,850.63 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GERMANY," 380,528.59 "," 21,342,516.96 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GREAT BRITAIN," 5,863.49 "," 77,151.89 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,HONG KONG, 535.86 ," 28,626.17 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,ITALY," 231,177.44 "," 30,869,384.69 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,KOREAN REPUBLIC OF, 109.13 ," 7,556.65 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,MAURITIUS," 54,000.00 "," 607,486.19 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,NAMIBIA, 104.71 , 805.69 ,,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,NETHERLANDS," 200,748.41 "," 8,192,564.69 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,PHILIPPINES," 20,645.00 "," 295,496.14 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,POLAND," 10,001.18 "," 952,240.55 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SOUTH AFRICA, 255.45 ," 5,888.21 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SPAIN," 4,223.35 "," 51,403.34 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SRI LANKA, 721.00 ," 5,543.77 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SWITZERLAND," 145,934.51 "," 10,450,053.08 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,THAILAND," 33,403.76 "," 1,724,362.21 ",,
