MALDIVES CUSTOMS SERVICE,,,,,,,
Tariff & Statistics Section,,,,,,,
,,,,,,,
,,,,,,,
Total Merchandise Exports in 2021 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 23/03/2022 ,,
,,,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) ,,
3926909010,"ARTICLES OF PLASTIC,NES",NMB,SOUTH AFRICA, 1.00 , 15.36 ,,
3926909010,"ARTICLES OF PLASTIC,NES",NMB,SRI LANKA, 12.00 , 184.37 ,,
3926909010,"ARTICLES OF PLASTIC,NES",NMB,UNITED ARAB EMIRATES," 13,160.00 "," 19,724.58 ",,
4014900010,BAGS (RUBBER) FOR HOT OR COLD WATER,NMB,SRI LANKA, 1.00 , 26.12 ,,
4015110000,SURGICAL GLOVES,NMB,SRI LANKA, 301.00 , 149.81 ,,
4015900000,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES OF VULCANIZED RUBBER, NES",NMB,SOUTH AFRICA, 2.00 , 61.46 ,,
4016920000,"ERASERS, OF VULCANIZED RUBBER",NMB,SRI LANKA, 4.00 , 61.46 ,,
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,SRI LANKA, 2.00 , 53.78 ,,
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,UNITED ARAB EMIRATES," 14,600.00 "," 44,931.50 ",,
4202210000,HAND BAG (OF LEATHER OR OF COMPOSITION LEATHER),NMB,SRI LANKA, 18.00 ," 1,075.55 ",,
4202220000,"HANDBAGS, WITH OUTER SURFACE OF SHEETING OF PLASTICS OR OF TEXTILE MATERIALS",NMB,AUSTRALIA, 1.00 , 76.94 ,,
4202220000,"HANDBAGS, WITH OUTER SURFACE OF SHEETING OF PLASTICS OR OF TEXTILE MATERIALS",NMB,SOUTH AFRICA, 6.00 , 614.60 ,,
4202220000,"HANDBAGS, WITH OUTER SURFACE OF SHEETING OF PLASTICS OR OF TEXTILE MATERIALS",NMB,SWITZERLAND, 236.00 ," 7,258.42 ",,
4202390000,ARTICLES NORMALLY CARRIED IN POCKET OR HANDBAG OF OTHER MATERIALS,NMB,MALAYSIA, 1.00 , 30.74 ,,
4202910000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF LEATHER",NMB,SRI LANKA, 1.00 , 307.30 ,,
4202929000,"CASES  & CONTAINERS, WITH OUTER SURFACE OF PLASTIC...NES  (EXCL TEXTILE SHOPPING BAG)",NMB,SOUTH AFRICA, 1.00 , 30.73 ,,
4202929000,"CASES  & CONTAINERS, WITH OUTER SURFACE OF PLASTIC...NES  (EXCL TEXTILE SHOPPING BAG)",NMB,SRI LANKA, 17.00 , 725.23 ,,
4203300010,BELT OF LEATHER OR COMPOSITION LEATHER,NMB,SRI LANKA, 2.00 , 92.19 ,,
4415100000,"CASES, BOXES, CRATES, DRUMS AND SIMILAR PACKINGS OF WOOD; CABLE-DRUMS",NMB,SWITZERLAND, 10.00 ," 13,840.20 ",,
4419190099,TABLEWARE AND KITCHENWARE (OF BAMBOO) NOT ELSEWHERE SPECIFIED,NMB,SOUTH AFRICA, 1.00 , 46.10 ,,
4419900099,TABLEWARE AND KITCHENWARE (OF WOOD)  NOT ELSEWHERE SPECIFIED,NMB,SOUTH AFRICA, 1.00 , 153.65 ,,
4419900099,TABLEWARE AND KITCHENWARE (OF WOOD)  NOT ELSEWHERE SPECIFIED,NMB,SRI LANKA, 1.00 , 30.73 ,,
4420100000,"STATUETTES AND OTHER ORNAMENTS, OF WOOD",NMB,SRI LANKA, 10.00 , 30.73 ,,
4420100000,"STATUETTES AND OTHER ORNAMENTS, OF WOOD",NMB,SWITZERLAND, 20.00 ," 21,529.20 ",,
4707300000,RECOVERED (WASTE/SCRAP) PAPER OR PAPERBOARD MADE MAINLY OF MECHANICAL PULP,KGM,INDIA," 50,000.00 "," 57,628.12 ",,
4811410013,"PAPER TAPE,SELF-ADHESIVE",NMB,SRI LANKA, 1.00 , 15.36 ,,
4818200010,HANDKERCHIEF & FACIAL TISSUE USED FOR CLEANSING,NMB,SRI LANKA, 1.00 , 61.46 ,,
4818500099,"ARTICLES OF APPAREL & CLOTHING ACCESSORIES OF PAPER,NES",NMB,SRI LANKA, 130.00 , 653.01 ,,
4819600011,BOX FILE (PAPER),NMB,SRI LANKA, 12.00 , 92.19 ,,
4819600012,"FILES,NES (PAPER)",NMB,SOUTH AFRICA, 13.00 ," 1,874.53 ",,
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,SRI LANKA, 38.00 , 616.14 ,,
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,UNITED ARAB EMIRATES, 198.00 ," 1,356.51 ",,
4820500000,ALBUMS FOR STAMPS OR FOR COLLECTIONS OF PAPER OR PAPERBOARD,NMB,SRI LANKA, 7.00 , 116.78 ,,
4823900012,"ARTICLES OF PAPER,NES",NMB,MALAYSIA, 5.00 , 235.43 ,,
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,MALAYSIA, 51.00 , 784.76 ,,
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,MALAYSIA, 20.00 ," 1,926.99 ",,
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,SOUTH AFRICA, 39.00 ," 2,489.12 ",,
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,SRI LANKA, 25.00 , 38.41 ,,
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,SWITZERLAND, 5.00 ," 7,458.33 ",,
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,UNITED ARAB EMIRATES," 13,300.00 "," 33,083.12 ",,
4909000010,GREETING CARD,NMB,MALAYSIA, 1.00 , 4.62 ,,
4910000000,"CALENDARS OF ANY KIND, PRINTED, INCLUDING CALENDAR BLOCKS",NMB,MALAYSIA, 2.00 , 30.76 ,,
4911910010,"PICTURES, DESIGNS AND PHOTOGRAPHS",NMB,SRI LANKA, 4.00 , 61.46 ,,
4911990000,"OTHER PRINTED MATTER, NES",NMB,MALAYSIA, 1.00 , 15.37 ,,
4911990000,"OTHER PRINTED MATTER, NES",NMB,SRI LANKA, 5.00 , 153.65 ,,
5309210000,"BLEACHED OR UNBLEACHED, WOVEN FABRICS OF FLAX, WITH <85% FLAX",MTK,SRI LANKA, 5.00 , 38.41 ,,
5407540015,TROUSER MATERIAL,MTK,SRI LANKA, 2.00 , 92.19 ,,
5802110000,"UNBLEACHED TERRY TOWELLING AND SIMILAR WOVEN TERRY FABRICS, OF COTTON",MTK,SRI LANKA, 4.00 , 553.14 ,,
5808900015,COTTON CORD,NMB,SRI LANKA, 1.00 , 153.65 ,,
6103490000,"MEN/BOY TROUSER, BOXER, BREECHES,  ETC OF OTHER TEXTILE MATERIALS KNIT OR CROCHE",NMB,MALAYSIA, 4.00 , 184.70 ,,
6104420000,"DRESSES OF COTTON, KNITTED OR CROCHETED",NMB,AUSTRALIA, 11.00 ," 1,021.94 ",,
6104490000,"DRESSES OF OTHER TEXTILE MATERIAL, NES, KNITTED OR CROCHETED",NMB,MALAYSIA, 24.00 ," 1,108.22 ",,
6106100000,"WOMENS OR GIRLS BLOUSES, TOPS ?ETC, OF COTTON, KNITTED OR CROCHETED.",NMB,UNITED ARAB EMIRATES, 100.00 , 999.57 ,,
6109100010,"T-SHIRT, KNITTED OR CROCHETED OF COTTON",NMB,SWITZERLAND, 12.00 , 369.07 ,,
6109100010,"T-SHIRT, KNITTED OR CROCHETED OF COTTON",NMB,UNITED ARAB EMIRATES, 848.00 ," 1,304.86 ",,
6109900010,"T-SHIRT , KNITTED OR CROCHETED OF OTHER TEXTILE MATERIAL",NMB,SOUTH AFRICA, 105.00 ," 3,979.54 ",,
6109900010,"T-SHIRT , KNITTED OR CROCHETED OF OTHER TEXTILE MATERIAL",NMB,SRI LANKA, 956.00 ," 13,836.88 ",,
6111200000,"BABIES' GARMENTS, ETC, OF COTTON, KNITTED OR CROCHETED",NMB,SRI LANKA, 46.00 ," 1,444.31 ",,
6115950000,"HOSIERY AND FOOTWEAR, OF COTTON, KNITTED OR CROCHETED, NES.",NPR,SRI LANKA, 7.00 , 138.29 ,,
6203320000,"MENS OR BOYS , JACKETS AND BLAZERS OF COTTON NOT KNITTED OR CROCHETED, NES",NMB,SRI LANKA, 2.00 , 46.09 ,,
6203420000,"MENS OR BOYS , TROUSERS,BREACHES ETC, OF COTTON NOT KNITTED OR CROCHETED, NES",NMB,SRI LANKA, 113.00 ," 4,017.94 ",,
6204420000,DRESSES OF COTTON,NMB,SRI LANKA, 49.00 ," 1,306.01 ",,
6204490000,"DRESSES OF OTHER TEXTILES, NES",NMB,SINGAPORE, 1.00 , 248.95 ,,
6204520000,"WOMENS OR GIRLS SKIRTS, DIVIDED SKIRTS, OF COTTON NOT KNITTED OR CROCHETED, NES",NMB,SRI LANKA, 31.00 ," 1,183.11 ",,
6204620000,"WOMEN/GIRL TROUSERS,BIBS AND BRACES OVERALLS... OF COTTON NOT KNITTED OR CROCHETED",NMB,SRI LANKA, 5.00 , 153.65 ,,
6204690000,"WOMEN/GIRL TROUSER,BIB AND BRACE OVERALL..OF OTHER TEXTILE MATERIAL NOT KNIT/CROCHE",NMB,SRI LANKA, 5.00 , 399.50 ,,
6206100000,"WOMEN/GIRL BLOUSES, SHIRT ETC OF SILK OR SILK WASTE NOT KNITTED OR CROCHETED,",NMB,SRI LANKA, 24.00 , 553.14 ,,
6206300000,"WOMENS OR GIRLS BLOUSES, SHIRTS , ETC OF COTTON NOT KNITTED OR CROCHETED, NES",NMB,SRI LANKA, 55.00 ," 3,042.26 ",,
6207210000,"MENS OR BOYS NIGHT SHIRTS AND PYJAMAS OF COTTON NOT KNITTED OR CROCHETED, NES",NMB,SRI LANKA, 40.00 ," 1,367.48 ",,
6208910000,"WOMEN/GIRL DRESSING GOWNS, PANTIES, ETC, OF COTTON NOT KNITTED OR CROCHETED, NES",NMB,SRI LANKA, 90.00 , 345.72 ,,
6209200099,GARMENTS & CLOTHING ACCESSORIES (BABIES) NOT KNITTED OR CROCHETED (COTTON),NMB,SINGAPORE, 11.00 , 50.78 ,,
6211110000,MEN'S OR BOYS' SWIMWEAR,NMB,SRI LANKA, 2.00 , 61.46 ,,
6212100000,BRASSIRES,NMB,SRI LANKA, 6.00 , 215.11 ,,
6214100012,SCARF OF SILK OR SILK WASTE (NOT KNITTED OR CROCHETED),NMB,SINGAPORE, 3.00 , 224.07 ,,
6214900013,SHAWL OF OTHER TEXTILE MATERIALS (NOT KNITTED OR CROCHETED),NMB,SRI LANKA, 1.00 , 76.82 ,,
6301300000,"BLANKETS (EXCL. ELECTRIC BLANKETS) AND TRAVELLING RUGS, OF COTTON",NMB,MALAYSIA, 1.00 , 61.47 ,,
6301300000,"BLANKETS (EXCL. ELECTRIC BLANKETS) AND TRAVELLING RUGS, OF COTTON",NMB,SRI LANKA, 3.00 , 169.02 ,,
6302100010,"BEDSHEET, KNITTED OR CROCHETED",NMB,SRI LANKA, 10.00 , 798.99 ,,
6302210011,BOLSTER CASE AND PILLOW CASE OF COTTON (PRINTED),NMB,SRI LANKA, 5.00 , 238.17 ,,
6302290011,BOLSTER CASE AND PILLOW CASE OF OTHER TEXTILE MATERIALS (PRINTED),NMB,SOUTH AFRICA, 4.00 , 245.84 ,,
6302310010,BEDSHEET OF COTTON (PLAIN),NMB,SRI LANKA, 26.00 ," 1,321.40 ",,
6302910000,"TOILET LINEN AND KITCHEN LINEN OF COTTON, NES",NMB,SRI LANKA, 4.00 , 261.20 ,,
6302990000,"TOILET LINEN AND KITCHEN LINEN OF OTHER TEXTILES, NES",NMB,SOUTH AFRICA, 28.00 ," 4,609.50 ",,
6302990000,"TOILET LINEN AND KITCHEN LINEN OF OTHER TEXTILES, NES",NMB,SRI LANKA, 4.00 , 138.29 ,,
6305200010,BAGS OF COTTON (NOT FOR PROLONG USE),NMB,SOUTH AFRICA, 2.00 ," 1,536.50 ",,
6305200010,BAGS OF COTTON (NOT FOR PROLONG USE),NMB,UNITED ARAB EMIRATES," 12,700.00 "," 39,084.06 ",,
6305390010,BAGS OF MAN-MADE TEXTILE MATERIALS,NMB,UNITED ARAB EMIRATES, 1.00 ," 3,693.00 ",,
6306400000,PNEUMATIC MATTRESSES.,NMB,SRI LANKA, 1.00 , 184.38 ,,
6307901213,MASK (MEDICAL/SURGICAL) OF TEXTILE MATERIALS,NMB,MALAYSIA, 20.00 , 30.74 ,,
6307901213,MASK (MEDICAL/SURGICAL) OF TEXTILE MATERIALS,NMB,SRI LANKA, 670.00 ," 4,763.14 ",,
6307909013,FLAG OF TEXTILE MATERIALS,NMB,SWITZERLAND, 2.00 , 61.51 ,,
6401920000,WATERPROOF FOOTWEAR COVERING THE ANKLE BUT NOT THE KNEE,NPR,SRI LANKA, 2.00 , 92.20 ,,
6401990000,WATERPROOF FOOTWEAR (NOT COVERING THE ANKLE),NPR,SRI LANKA, 21.00 ," 1,160.06 ",,
6403990000,"FOOTWEAR WITH RUBBER... SOLES, LEATHER UPPERS, NOT COVERING THE ANKLE",NPR,SRI LANKA, 42.00 ," 2,811.78 ",,
6404110000,"TRAINING SHOES, ETC, WITH RUBBER OR PLASTIC SOLES AND TEXTILE UPPERS",NPR,SRI LANKA, 1.00 , 122.92 ,,
6405900011,SLIPPERS,NPR,MALAYSIA, 2.00 , 61.57 ,,
6405900011,SLIPPERS,NPR,SRI LANKA, 4.00 , 368.76 ,,
6405900012,SHOES (OF TEXTILE MATERIAL),NPR,MALAYSIA, 2.00 , 184.40 ,,
6405900012,SHOES (OF TEXTILE MATERIAL),NPR,SOUTH AFRICA, 5.00 , 76.82 ,,
6506990000,"HATS AND OTHER HEADGEAR, NES",NMB,SRI LANKA, 4.00 , 122.92 ,,
6601991010,UMBRELLA,NMB,SRI LANKA, 9.00 ," 1,636.37 ",,
6702100010,FLOWER OF PLASTIC,NMB,SRI LANKA, 2.00 , 61.46 ,,
6802910011,CARVED OR DECORATING ARTICLES OF MARBLE,NMB,MALAYSIA, 1.00 , 115.41 ,,
6809190099,"OTHER BOARDS,.. & SIMILAR ARTICLES, NOT ORNAMENTED OR OF COMPOSITIONS BASE ON PLASTER",MTK,SOUTH AFRICA, 2.00 , 307.30 ,,
6810990016,BATH TUB (CEMENT),NMB,QATAR, 1.00 ," 43,768.88 ",,
6907300000,"CERAMIC MOSAIC CUBES AND THE LIKE , OTHER THAN THOSE OF FINISHING CERAMICS",MTK,SOUTH AFRICA, 4.00 ," 1,229.20 ",,
6910900017,HAND SHOWER (CERAMIC) NOT CAPABLE OF REGULATING THE FLOW OF WATER,NMB,SRI LANKA, 1.00 , 61.46 ,,
6911100000,"TABLEWARE AND KITCHENWARE, OF PORCELAIN OR CHINA",NMB,SRI LANKA, 8.00 , 145.97 ,,
6912001010,"CERAMIC TABLEWARE, KITCHENWARE ARTICLES, OTHER THAN OF PORCELAIN OR CHINA NES",NMB,SRI LANKA, 1.00 , 30.73 ,,
6914900099,"CERAMIC ARTICLES, NES (EXCL. PORCELAIN OR CHINA)",NMB,UNITED ARAB EMIRATES, 50.00 ," 2,305.00 ",,
7010900010,BOTTLE OF GLASS,NMB,SRI LANKA, 1.00 , 15.36 ,,
7013101000,"GLASS-CERAMIC OBJECTS, USED FOR TABLE, KITCHEN... NES",NMB,MALAYSIA, 1.00 , 61.47 ,,
7013370000,DRINKING GLASSES EXCL. LEAD CRYSTAL.,NMB,SRI LANKA, 9.00 , 276.57 ,,
7013490000,"GLASSWARE OF A KIND USED FOR TABLE (EXCL DRINKING GLASS) OR KITCHEN PURPOSES, (EXCL.GLA.",NMB,SOUTH AFRICA, 1.00 , 30.73 ,,
7013490000,"GLASSWARE OF A KIND USED FOR TABLE (EXCL DRINKING GLASS) OR KITCHEN PURPOSES, (EXCL.GLA.",NMB,SRI LANKA, 53.00 , 637.65 ,,
7013990099,"OTHER GLASSWARE FOR TOILET, OFFICE, INDOOR DECORATIONS, ETC, OF GLASS, NES",NMB,DENMARK, 6.00 ," 1,183,297.50 ",,
7013990099,"OTHER GLASSWARE FOR TOILET, OFFICE, INDOOR DECORATIONS, ETC, OF GLASS, NES",NMB,SRI LANKA, 15.00 , 169.02 ,,
7018900000,"GLASS STATUETTES AND OTHER ORNAMENTS OF LAMP-WORKED GLASS,  NES",NMB,SRI LANKA, 35.00 , 347.26 ,,
7020000010,BOX OF GLASS,NMB,SRI LANKA, 12.00 , 30.73 ,,
7117190013,EARING OF BASE METAL WHETHER OR NOT PLATED,NMB,MALAYSIA, 1.00 , 15.37 ,,
7204100000,WASTE AND SCRAP OF CAST IRON,KGM,INDIA," 20,810,940.00 "," 38,513,510.83 ",,
7204210000,WASTE AND SCRAP OF STAINLESS STEEL,KGM,INDIA," 262,000.00 "," 161,306.46 ",,
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,INDIA," 11,953,820.00 "," 37,612,178.31 ",,
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,MALAYSIA," 891,770.00 "," 3,642,472.81 ",,
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,OMAN," 75,000.00 "," 426,517.50 ",,
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,SRI LANKA," 23,000.00 "," 88,358.52 ",,
7307910000,FLANGES OF IRON OR STEEL (EXCL. STAINLESS),NMB,NETHERLANDS, 4.00 ," 32,613.91 ",,
7308400011,SCAFFOLDING,NMB,UNITED ARAB EMIRATES," 2,000.00 "," 153,780.00 ",,
7310100013,BOX OF IRON OR STEEL 50-300LTRS,NMB,SRI LANKA, 1.00 , 76.82 ,,
7310100015,BARREL OF IRON OR STEEL 50-300LTRS,NMB,SRI LANKA, 46.00 ," 6,629.55 ",,
7312100010,STRANDED ROPE OF IRON OR STEEL,MTR,SRI LANKA, 50.00 , 384.12 ,,
7318160011,NUT (IRON OR STEEL) WITHOUT BOLT,NMB,NETHERLANDS, 4.00 , 142.27 ,,
7319900000,"SEWING NEEDLES,KNITTING NEEDLES, BODKINS, CROCHET HOOKS, ETC, OF IRON OR STEEL",NMB,SRI LANKA, 1.00 , 3.84 ,,
7323931011,"TABLEWARE AND  KITCHENWARE OF STAINLESS STEEL, NES",NMB,SRI LANKA," 1,142.00 "," 10,374.53 ",,
7323939000,OTHER HOUSEHOLD ARTICLES  & PART OF STAINLESS STEEL.. (EXCL. TABLEWARE & KITCHENWARE),NMB,SRI LANKA, 1.00 , 614.60 ,,
7323941000,"TABLEWARE AND KITCHENWARE OF IRON (OTHER THAN CAST IRON) OR STEEL, NOT ENAMELLED",NMB,SOUTH AFRICA, 1.00 , 76.82 ,,
7323941000,"TABLEWARE AND KITCHENWARE OF IRON (OTHER THAN CAST IRON) OR STEEL, NOT ENAMELLED",NMB,SRI LANKA, 209.00 ," 4,231.54 ",,
7323949000,"OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF IRON OR STEEL, NOT ENAMELLED, NES",NMB,SRI LANKA, 1.00 , 30.73 ,,
7325990099,"OTHER ARTICLES OF CAST IRON OR STEEL, NES",NMB,SRI LANKA, 275.00 ," 38,480.00 ",,
7326900099,"ARTICLES OF IRON, STEEL OR STAINLESS STEEL",NMB,SWITZERLAND, 236.00 ," 7,258.42 ",,
7404000000,COPPER WASTE AND SCRAP,KGM,INDIA," 14,016,000.00 "," 12,150,869.73 ",,
7602000000,ALUMINIUM WASTE AND SCRAP,KGM,CHINA," 52,800.00 "," 203,174.40 ",,
7602000000,ALUMINIUM WASTE AND SCRAP,KGM,INDIA," 1,712,200.00 "," 1,684,695.98 ",,
7602000000,ALUMINIUM WASTE AND SCRAP,KGM,MALAYSIA," 100,000.00 "," 1,585,376.00 ",,
7602000000,ALUMINIUM WASTE AND SCRAP,KGM,SRI LANKA," 2,000.00 "," 46,100.10 ",,
7604290010,BAR OF ALUMINIUM ALLOYS,KGM,UNITED ARAB EMIRATES," 75,000.00 "," 230,670.00 ",,
7613000010,ALUMINIUM CYLINDER FOR GAS,NMB,SRI LANKA, 1.00 , 46.10 ,,
7615100000,"TABLE,KITCHN OR HOUSEHOLD ARTCLS & PARTS;POT SCOURERS & SCORIN/POLISHN PADS,GLOVS OF ALU",NMB,SRI LANKA, 5.00 , 353.40 ,,
8202100000,HAND SAWS,NMB,SRI LANKA, 2.00 , 445.58 ,,
8202910010,HACKSAW BLADE ( FOR WORKING METAL ),NMB,SRI LANKA, 3.00 , 46.10 ,,
8203409013,"CUTTER, NES ( HAND TOOL )",NMB,SRI LANKA, 1.00 , 69.14 ,,
8204110000,"HAND-OPERATED SPANNERS AND WRENCHES, NON-ADJUSTABLE",NMB,SRI LANKA, 2.00 , 829.71 ,,
8204120000,"HAND-OPERATED SPANNERS AND WRENCHES, ADJUSTABLE",NMB,SRI LANKA, 1.00 , 30.73 ,,
8205100011,DRILL BIT (NOT INTERCHANGEABLE),NMB,SRI LANKA, 5.00 , 169.02 ,,
8205300010,CHISEL,NMB,SRI LANKA, 1.00 , 30.73 ,,
8205300011,"PLANE, NON-ELECTRIC",NMB,SRI LANKA, 2.00 , 553.14 ,,
8205400000,SCREWDRIVERS,NMB,SRI LANKA, 8.00 , 822.02 ,,
8205510011,"FOOD GRINDER AND MIXER, MANUAL",NMB,SRI LANKA, 1.00 , 53.78 ,,
8205510099,"HOUSEHOLD HAND TOOLS, NES",NMB,SRI LANKA, 3.00 , 84.51 ,,
8205591010,STAPLER (FOR STUDENTS),NMB,SRI LANKA, 1.00 , 15.36 ,,
8205599012,GREASE OR SILICON GUN,NMB,SRI LANKA, 1.00 , 122.92 ,,
8205599019,WELDING ROD HOLDER,NMB,SRI LANKA, 1.00 , 61.46 ,,
8205599099,"HAND TOOLS (OF BASEMETAL), NES (OTHER THAN FOR STUDENTS OR FOR SEWING INDUSTRY)",NMB,SRI LANKA, 7.00 , 307.30 ,,
8205900013,TOOL SET (FOR HOUSE HOLD) OF SUB-HEADINGS 8205.10 TO 8205.70,NMB,SRI LANKA, 1.00 , 384.12 ,,
8205900099,"OTHER HAND TOOLS,NES",NMB,SRI LANKA, 2.00 , 153.65 ,,
8207500000,"INTERCHANGEABLE TOOLS FOR DRILLING, OTHER THAN FOR ROCK DRILLING",NMB,SRI LANKA, 1.00 , 38.41 ,,
8210000010,"COCONUT SCRAPER, MECHANICAL (WEIGHING 10 KG OR LESS)",NMB,SRI LANKA, 1.00 , 30.73 ,,
8210000011,"EGG BEATER, MECHANICAL",NMB,SRI LANKA, 1.00 , 61.46 ,,
8211920000,KNIVES WITH FIXED BLADES (EXCL. TABLE KNIVES),NMB,SRI LANKA, 32.00 , 660.70 ,,
8212100000,RAZORS (NON-ELECTRIC),NMB,SRI LANKA, 14.00 , 153.65 ,,
8213009000,SCISSORS (OTHER THAN FOR STUDENTS OR SEWING INDUSTRY),NMB,MALAYSIA, 1.00 , 61.47 ,,
8215990011,FORK OF BASE METAL,NMB,SRI LANKA, 162.00 , 307.30 ,,
8215990012,"NON-CUTTING KNIVES AND BUTTER KNIVES, NES",NMB,MALAYSIA, 1.00 , 15.37 ,,
8301409011,"LOCKS, NES",NMB,SRI LANKA, 7.00 ," 1,582.60 ",,
8303000012,SAFE DEPOSIT LOCKER,NMB,SOUTH AFRICA, 1.00 , 460.95 ,,
8306290012,TROPHY OF BASE METAL,NMB,SRI LANKA, 4.00 , 122.92 ,,
8311300010,SOLDERING WIRE (CORED) FOR SOLDERING BY FLAME,KGM,SRI LANKA, 1.00 , 230.48 ,,
8409991100,"MARINE DIESEL ENGINE PARTS, NES",NMB,NETHERLANDS, 19.00 ," 56,993.04 ",,
8409991100,"MARINE DIESEL ENGINE PARTS, NES",NMB,UNITED STATES, 32.00 ," 4,914.40 ",,
8413301011,FUEL PUMP (FOR OTHER THAN PASSENGER VEHICLES),NMB,SRI LANKA, 1.00 ," 4,606.80 ",,
8413811013,WATER PUMP (EXCLUDING MARINE ENGINE PUMP AND FIRE PUMP),NMB,SRI LANKA, 1.00 , 384.12 ,,
8414511000,"TABLE, FLOOR, WALL, WINDOW, CEILING OR ROOF FANS (MOTOR OUTPUT =<125W)",NMB,SRI LANKA, 2.00 , 476.31 ,,
8414591012,"OTHER TABLE, FLOOR, WALL, WINDOW, CEILING OR ROOF FANS (MOTOR OUTPUT > 125W)",NMB,SRI LANKA, 1.00 , 76.82 ,,
8414599000,"EXHAUST FAN, VENTILATOR FAN, AND SIMILAR FANS, NES",NMB,SRI LANKA, 1.00 , 46.10 ,,
8418690013,ICE CUBE MACHINE,NMB,SRI LANKA, 1.00 ," 1,797.81 ",,
8419810019,BREAD TOASTER & SANDWICH TOASTER (ELECTRIC) OTHER THAN DOMESTIC,NMB,SRI LANKA, 4.00 , 291.94 ,,
8423100010,SCALE OF HOUSEHOLD TYPE,NMB,SRI LANKA, 2.00 , 614.60 ,,
8424200011,CEMENT & PAINT SPRAYER,NMB,UNITED ARAB EMIRATES, 1.00 ," 16,926.25 ",,
8424200014,SPRAY GUNS & SIMILAR APPLIANCES,NMB,SRI LANKA, 7.00 , 622.28 ,,
8428390010,"ELEVATOR, NES",NMB,MALAYSIA, 1.00 ," 33,058.97 ",,
8451300010,IRONING MACHINE,NMB,SRI LANKA, 4.00 ," 6,272.62 ",,
8464900011,"DRILLING MACHINE FOR STONE, CONCRETE, CERAMIC & GLASS",NMB,SRI LANKA, 9.00 ," 6,829.75 ",,
8467220011,CIRCULAR SAW (ELECTRO-MECHANICAL),NMB,SRI LANKA, 2.00 , 537.78 ,,
8467220012,JIG SAW (ELECTRO-MECHANICAL),NMB,SRI LANKA, 1.00 ," 1,382.85 ",,
8467290015,CONCRETE VIBRATOR (ELECTRO-MECHANICAL),NMB,SRI LANKA, 1.00 , 537.78 ,,
8467290017,PLANE (ELECTRO-MECHANICAL),NMB,SRI LANKA, 1.00 , 768.25 ,,
8467290019,SANDER (ELECTRO-MECHANICAL),NMB,SRI LANKA, 2.00 ," 1,229.20 ",,
8467290099,TOOLS (ELECTRO-MECHANICAL) NOT SPECIFIED,NMB,SRI LANKA, 2.00 , 368.76 ,,
8471300099,"OTHER PORTABLE ADP MACHINES, WEIGHING <=10KG, CONSISTING OF ATLEAST CPU, KEYBOARD ...",NMB,SRI LANKA, 2.00 ," 7,682.50 ",,
8471700010,HARD DISK DRIVE,NMB,SOUTH AFRICA, 5.00 , 76.82 ,,
8473301010,COMPUTER PARTS & ACCESSORIES,NMB,SOUTH AFRICA, 5.00 , 76.82 ,,
8473301010,COMPUTER PARTS & ACCESSORIES,NMB,SRI LANKA, 1.00 , 153.65 ,,
8481100000,PRESSURE-REDUCING VALVES,NMB,SRI LANKA, 1.00 , 122.92 ,,
8481809017,"WATER TAP, FAUCETS AND SIMILAR TAPS NES",NMB,SRI LANKA, 5.00 ," 1,075.55 ",,
8481809099,APPLIANCES CAPABLE OF CONTROLLING THE FLOW OF FLUIDS NES (OTHER THAN MOTOR VEHICLES),NMB,SRI LANKA, 1.00 , 61.46 ,,
