MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2018 ,,,* Subjected to Post Modification,, Updated on :  04/07/2019 
,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
303890012,FROZEN MARLIN,KGM,VIETNAM," 262,057.67 "," 6,497,768.01 "
303890098,FROZEN FISH NES,KGM,VIETNAM," 5,880.00 "," 135,758.55 "
303890099,FROZEN REEF FISH NES,KGM,SRI LANKA," 6,264.00 "," 115,695.68 "
303890099,FROZEN REEF FISH NES,KGM,VIETNAM," 105,115.89 "," 2,092,247.55 "
303990000,OTHER FROZEN EDIBLE FISH OFFAL,KGM,PHILIPPINES," 21,660.00 "," 617,034.41 "
304491010,FRESH OR CHILLED SKIPJACK FILLET,KGM,FRANCE, 98.20 ," 20,835.04 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,FRANCE," 9,525.23 "," 293,562.13 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,ITALY, 756.70 ," 48,045.86 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,RUSSIA, 92.30 ," 25,363.65 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,GERMANY," 9,104.73 "," 612,710.70 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,NORWAY, 150.61 ," 9,277.27 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,SINGAPORE, 10.16 ," 1,251.71 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,SPAIN," 1,000.00 "," 30,800.00 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,SWITZERLAND, 721.73 ," 399,801.95 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,CANADA," 6,763.79 "," 433,330.20 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,IRELAND," 114,221.91 "," 9,394,148.34 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,NETHERLANDS," 54,353.82 "," 2,973,674.12 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,SRI LANKA," 11,071.37 "," 340,887.48 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,THAILAND," 37,041.77 "," 3,497,788.82 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,UNITED STATES," 37,622.02 "," 2,886,060.73 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,AUSTRALIA," 1,464.11 "," 152,825.08 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,AUSTRIA, 84.97 ," 2,615.83 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,HONG KONG," 6,276.43 "," 1,157,496.63 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,ITALY," 323,051.67 "," 25,751,652.30 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,REUNION," 21,988.84 "," 677,141.42 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,SOUTH AFRICA," 4,847.31 "," 229,463.00 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,BELGIUM," 6,590.84 "," 1,006,821.41 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,FRANCE," 754,664.69 "," 75,844,935.02 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,GREAT BRITAIN," 254,769.66 "," 26,711,026.59 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,POLAND," 4,355.76 "," 984,545.68 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,QATAR, 242.85 ," 57,064.29 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,SPAIN," 24,219.81 "," 436,324.81 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,SWITZERLAND," 75,982.89 "," 15,651,705.53 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,UKRAINE, 109.28 ," 9,651.96 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,UNITED ARAB EMIRATES," 22,387.47 "," 3,372,708.86 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,VIETNAM," 2,011.06 "," 130,041.54 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,CHINA, 366.20 ," 11,367.70 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,GERMANY," 434,781.28 "," 42,643,346.22 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,NORWAY," 1,545.22 "," 93,544.60 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,SINGAPORE," 1,073.23 "," 57,012.44 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,FRANCE, 360.88 ," 11,116.91 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,GREAT BRITAIN, 456.21 ," 14,053.55 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,CANADA, 654.55 ," 32,447.27 "
