MALDIVES CUSTOMS SERVICE,,,,,
 Statistics and Records Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2024 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 26/1/2025 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,SPAIN," 44,872 "," 1,000,409 "
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,UNITED STATES," 1,814 "," 13,962 "
305391012,"YELLOWFIN TUNA LOIN (DRIED,SALTED,IN BRINE) BUT NOT SMOKED",KGM,SRI LANKA, 2 , 40 
305399099,"REEF FISH FILLET (DRIED,SALTED IN BRINE)",KGM,SRI LANKA," 3,332 "," 51,259 "
305491010,SKIPJACK (SMOKED),KGM,SRI LANKA," 3,155 "," 28,104 "
305491012,YELLOWFIN TUNA FILLET (SMOKED),KGM,MALAYSIA, 4 , 208 
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,GERMANY, 1 , 308 
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,SRI LANKA, 716 , 494 
305491099,"TUNA (SMOKED), NES",KGM,BAHRAIN, 2 , 152 
305491099,"TUNA (SMOKED), NES",KGM,SRI LANKA, 8 , 387 
305499017,"MARLIN (SMOKED)""THALAPATHA""(HIBARU)",KGM,SRI LANKA," 77,600 "," 1,209,066 "
305540000,"DRIED SWORDFISH, BONITOS, MARLINS, SAILFISHES, SPEARFISH ETC (EXCL. SMOKED)",KGM,SRI LANKA," 108,838 "," 1,086,637 "
305591010,SKIPJACK (DRIED),KGM,GERMANY, 12 ," 1,906 "
305591010,SKIPJACK (DRIED),KGM,SRI LANKA," 987,491 "," 12,833,434 "
305591011,SKIPJACK (SALTED DRIED),KGM,SRI LANKA," 26,183 "," 246,575 "
305591014,"BELLY FLAP (YELLOWFIN TUNA) SALTED, DRIED",KGM,JAPAN, 336 ," 14,220 "
305591014,"BELLY FLAP (YELLOWFIN TUNA) SALTED, DRIED",KGM,SRI LANKA, 150 ," 1,154 "
305591016,"SKIPJACK TUNA BELLY FLAP(DRIED,SALTED IN BRINE)",KGM,JAPAN, 766 ," 31,491 "
305591018,YELLOWFIN TUNA (SALTED DRIED),KGM,SRI LANKA," 34,507 "," 402,939 "
305591020,FISH CHIPS (SKIPJACK TUNA) DRIED,KGM,JAPAN," 165,875 "," 25,368,804 "
305591021,DOG TOOTH TUNA (SALTED) KERAWALLA (VOSHIMAS),KGM,SRI LANKA, 800 ," 54,164 "
305599010,"REEF FISH (SALTED DRIED) ""MULLET""(HULHUN'BU MAS)",KGM,SRI LANKA," 6,013 "," 58,125 "
305599011,"VAHOO (SALTED DRIED) ""SEER"" (KURUMAS)",KGM,SRI LANKA," 9,257 "," 136,109 "
305599012,"RAINBOW RUNNER (SALTED DRIED)""LENA PARAWA""(MAANIYA MAS)",KGM,SRI LANKA," 40,486 "," 429,208 "
305599013,"JACK (SALTED DRIED) ""PARAWA""(FANIHAN'DHI)",KGM,SRI LANKA," 2,416 "," 56,394 "
305599015,"DOLPHIN FISH(SALTED DRIED)""VANNA"" (FIYALA)",KGM,SRI LANKA," 1,507 "," 16,187 "
305599020,REEF FISH DRIED (WHETHER OR NOT SALTED),KGM,SRI LANKA," 6,681 "," 55,819 "
305599099,DRIED FISH (WHETHER OR NOT SALTED BUT NOT SMOKED) NOT SPECIFIED,KGM,MALAYSIA, 1 , 77 
305599099,DRIED FISH (WHETHER OR NOT SALTED BUT NOT SMOKED) NOT SPECIFIED,KGM,SRI LANKA," 20,261 "," 422,348 "
306331000,CRABS ( LIVE ),NMB,HONG KONG," 7,348 "," 91,235 "
306331000,CRABS ( LIVE ),NMB,THAILAND," 1,670 "," 20,561 "
306950000,"OTHER SHRIMPS AND PRAWNS, NES (EXCL LIVE FRESH, CHILLED OR FROZEN)",KGM,SRI LANKA, 0 , 60 
308119000,SEA CUCUMBER (FRESH OR CHILLED),KGM,SINGAPORE, 291 ," 26,623 "
308190011,SEA CUCUMBER (DRIED),KGM,AUSTRALIA, 120 ," 9,231 "
308190011,SEA CUCUMBER (DRIED),KGM,CHINA, 14 , 369 
