MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2022 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 25/01/2023 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,POLAND," 24,469.80 "," 2,862,584.49 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,PORTUGAL, 273.71 ," 52,646.41 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,QATAR, 433.45 ," 31,377.30 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SPAIN," 4,474.76 "," 135,896.06 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SRI LANKA, 78.00 , 206.20 
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SWITZERLAND," 72,513.83 "," 13,761,050.92 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,THAILAND," 20,720.00 "," 1,800,508.08 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UKRAINE, 5.41 ," 1,915.23 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 6,918.99 "," 1,212,289.16 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UNITED STATES," 31,450.07 "," 1,571,444.76 "
304491015,SKIPJACK LOIN (FRESH OR CHILLED),KGM,CZECH REPUBLIC, 9.75 , 75.11 
304491015,SKIPJACK LOIN (FRESH OR CHILLED),KGM,FRANCE, 6.04 , 627.21 
304491015,SKIPJACK LOIN (FRESH OR CHILLED),KGM,GERMANY, 39.00 ," 7,801.46 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,FRANCE, 456.85 ," 21,087.03 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,IRELAND, 301.95 ," 13,938.77 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,ITALY," 2,086.90 "," 48,168.42 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,BELGIUM," 3,108.04 "," 425,058.11 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CANADA," 1,183.98 "," 15,260.76 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CHINA, 86.40 ," 7,016.70 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CYPRUS," 4,765.91 "," 167,464.17 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CZECH REPUBLIC," 2,018.70 "," 25,475.76 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,DENMARK, 985.70 ," 158,517.26 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,FRANCE," 322,416.64 "," 23,935,515.03 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GERMANY," 566,428.66 "," 17,631,772.87 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GREAT BRITAIN," 7,490.73 "," 57,641.36 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,HONG KONG, 500.23 ," 15,580.53 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,ITALY," 303,690.56 "," 34,600,179.16 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,KOREAN REPUBLIC OF, 28.44 ," 1,364.22 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,MAURITIUS," 243,150.70 "," 6,148,427.94 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,NETHERLANDS," 102,030.41 "," 5,444,130.89 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,POLAND," 12,425.50 "," 1,471,663.96 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,QATAR, 477.03 ," 3,670.23 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SPAIN," 19,650.87 "," 274,634.29 "
