Maldives Customs Service,,,,,,
TARIFF & STATISTICS SECTION,,,,,,
,,,,,,
,,,,,,
Total Exports In 2016,,,,Date 20/09/2017,,
,,,,,,
HS CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB (MVR) ,RATE
304491017,Bigeye Tuna Loins (Fresh Or Chilled),KGM,NETHERLANDS, 90.50 ," 2,782.33 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Australia," 16,786.54 "," 1,029,205.08 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Belgium," 6,483.85 "," 1,039,727.76 ",15
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),KGM,CHINA, 21.54 , 535.48 ,15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Czech Republic," 1,747.42 "," 189,922.28 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Denmark, 204.20 ," 58,280.45 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,France," 428,077.33 "," 58,029,826.26 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Germany," 441,831.20 "," 48,676,846.96 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Great Britain," 91,905.77 "," 12,899,333.50 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Italy," 343,765.39 "," 46,615,565.87 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Netherlands," 112,601.00 "," 15,455,858.99 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Poland," 14,035.86 "," 2,093,346.00 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Switzerland," 194,788.04 "," 33,333,293.39 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Thailand," 2,099.98 "," 67,705.39 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,United Arab Emirates," 10,158.71 "," 1,941,900.55 ",15
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,United States," 95,940.47 "," 7,903,197.70 ",15
304491020,Minced Yellowfin Tuna (Fresh Or Chilled),KGM,SWITZERLAND, 0.47 , 3.99 ,15
304491021,Yellowfin Tuna Steak (Fresh Or Chilled),KGM,CHINA, 64.52 ," 8,175.85 ",15
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,France, 17.54 , 699.39 ,15
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,Germany," 15,858.75 "," 809,861.14 ",15
304491021,Yellowfin Tuna Steak (Fresh Or Chilled),KGM,SWITZERLAND, 62.19 ," 1,949.26 ",15
304491021,Yellowfin Tuna Steak (Fresh Or Chilled),KGM,UNITED STATES, 7.58 , 116.41 ,15
304499012,MARLIN LOIN (FRESH OR CHILLED),KGM,France, 208.42 ," 12,815.10 ",0
304499012,MARLIN LOIN (FRESH OR CHILLED),KGM,Germany, 71.77 ," 3,862.20 ",0
304499013,REEF FISH LOIN (FRESH OR CHILLED),KGM,Czech Republic, 74.55 ," 3,865.00 ",0
304499013,Reef Fish Loin (Fresh Or Chilled),KGM,SWITZERLAND, 11.59 , 534.87 ,0
304540000,Fresh Or Chilled Meat And Loins Of Swordfish(Xiphias Gladius),KGM,THAILAND, 21.91 ," 1,164.47 ",0
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,Czech Republic, 253.70 ," 9,370.50 ",15
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,France," 6,062.81 "," 323,145.68 ",15
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,Germany, 255.94 ," 9,530.01 ",15
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,KGM,GREAT BRITAIN, 17.37 ," 1,306.94 ",15
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,KGM,IRELAND, 26.81 , 824.17 ,15
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,KGM,NETHERLANDS, 47.26 ," 2,781.09 ",15
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,Poland, 14.00 , 860.86 ,15
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,Singapore, 61.75 ," 3,742.83 ",15
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,KGM,SWITZERLAND, 5.59 , 257.83 ,15
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,KGM,THAILAND, 30.40 ," 1,565.84 ",15
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,KGM,UNITED ARAB EMIRATES, 21.90 ," 1,009.59 ",15
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,KGM,UNITED STATES, 789.64 ," 60,019.81 ",15
304870010,Skipjack Fillet (Frozen),KGM,SINGAPORE, 111.38 ," 5,341.22 ",15
304870010,Skipjack Fillet (Frozen),KGM,UNITED STATES, 910.00 ," 13,988.52 ",15
304870011,Yellowfin Tuna Fillet (Frozen),KGM,SRI LANKA," 40,300.00 "," 352,379.62 ",15
304870011,Yellowfin Tuna Fillet (Frozen),KGM,UNITED STATES," 20,445.17 "," 708,444.24 ",15
304870012,Yellowfin Tuna Loin (Frozen),KGM,GERMANY," 23,800.00 "," 2,470,917.90 ",15
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,Italy, 90.60 ," 1,392.97 ",15
304870012,Yellowfin Tuna Loin (Frozen),KGM,SPAIN, 112.00 , 963.69 ,15
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,Thailand," 33,041.01 "," 404,683.55 ",15
304870012,Yellowfin Tuna Loin (Frozen),KGM,VIETNAM, 102.37 ," 1,572.19 ",15
304870014,Belly Flap (Yellowfin Tuna) Frozen,KGM,PHILIPPINES," 6,839.62 "," 71,484.94 ",15
304870014,Belly Flap (Yellowfin Tuna) Frozen,KGM,SPAIN," 49,189.00 "," 1,151,970.61 ",15
304870015,Yellowfin Tuna Steak (Frozen),KGM,NETHERLANDS," 20,980.00 "," 2,640,324.67 ",15
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,Norway, 6.29 , 96.69 ,15
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,United States," 18,895.60 "," 510,845.88 ",15
304870016,Yellowfin Tuna Chunk (Frozen),KGM,FRANCE, 109.60 ," 15,162.93 ",15
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,Great Britain," 11,091.49 "," 682,126.64 ",15
304870016,Yellowfin Tuna Chunk (Frozen),KGM,SRI LANKA," 23,519.46 "," 235,889.97 ",15
304870016,Yellowfin Tuna Chunk (Frozen),KGM,UNITED STATES," 31,501.24 "," 946,707.79 ",15
304890011,MARLIN LOIN(FROZEN),KGM,Sri Lanka," 19,609.00 "," 422,311.58 ",0
305100010,FISH MEAL ( FIT FOR HUMAN CONSUMPTION ),KGM,Sri Lanka," 247,000.00 "," 3,622,347.62 ",0
305100011,FISH MEAL ( FROZEN & COOKED FIT FOR HUMAN CONSUMPTION ),KGM,Bangladesh," 38,000.00 "," 672,250.20 ",0
305100011,Fish Meal ( Frozen & Cooked Fit For Human Consumption ),KGM,SRI LANKA," 1,140,304.00 "," 7,011,338.02 ",0
305391012,"Yellowfin Tuna Loin (Dried,Salted,In Brine) But Not Smoked",KGM,SPAIN," 12,000.00 "," 1,088,550.00 ",15
305399010,"Barracuda & Habaraly Fillet (Dried,Salted,In Brine) But Not Smoked",KGM,SRI LANKA, 125.00 ," 5,765.62 ",0
305491010,Skipjack (Smoked),KGM,JAPAN," 22,400.00 "," 3,394,105.08 ",15
305491010,SKIPJACK (SMOKED),KGM,Sri Lanka," 261,175.00 "," 21,045,311.76 ",15
305491012,Yellowfin Tuna Fillet (Smoked),KGM,SAUDI ARABIA, 4.35 , 66.84 ,15
305491013,"Fish Chips (Skipjack,Tuna) Smoked",KGM,GERMANY, 2.15 , 99.05 ,15
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,Sri Lanka," 1,420.00 "," 76,023.99 ",15
