MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2017,,* Provisional/Subjected to Post Modification,,, Updated on : 07/05/2018 
,,,,,
CODE,HSDESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB (MVR) 
303420010,YELLOWFIN TUNA (FROZEN),KGM,SRI LANKA," 30,848.00 "," 494,381.58 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,THAILAND," 10,733,956.60 "," 304,122,895.54 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,UNITED STATES," 64,853.43 "," 2,709,822.11 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,VIETNAM," 295,961.44 "," 10,686,309.90 "
303420011,YELLOWFIN TUNA HEAD (FROZEN),KGM,GERMANY, 16.75 , 644.67 
303420011,YELLOWFIN TUNA HEAD (FROZEN),KGM,PHILIPPINES," 4,219.07 "," 23,341.23 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,SPAIN," 254,005.50 "," 7,710,774.61 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,THAILAND," 40,796,943.00 "," 1,166,827,639.02 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,VIETNAM," 4,576.70 "," 39,555.62 "
303440010,BIGEYE TUNA (FROZEN),KGM,JAPAN," 126,817.00 "," 5,241,663.70 "
303440010,BIGEYE TUNA (FROZEN),KGM,THAILAND," 107,630.00 "," 2,515,480.19 "
303440010,BIGEYE TUNA (FROZEN),KGM,VIETNAM," 22,356.00 "," 634,308.65 "
303490000,"FROZEN TUNAS, NES",KGM,NEW TAIWAN," 5,642.00 "," 86,886.80 "
303490000,"FROZEN TUNAS, NES",KGM,SRI LANKA," 13,594.00 "," 261,171.23 "
303490000,"FROZEN TUNAS, NES",KGM,VIETNAM," 4,385.00 "," 67,500.11 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,SRI LANKA," 107,862.00 "," 1,770,147.99 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,THAILAND," 24,241.00 "," 502,981.94 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,VIETNAM," 212,508.70 "," 4,246,011.68 "
303590000,"FROZEN INDIAN MACKERELS, SEERFISHES, JACKS, CREVALLES, SILVER POMFRETS, ... NES",KGM,NEW TAIWAN," 31,662.00 "," 334,063.42 "
303590000,"FROZEN INDIAN MACKERELS, SEERFISHES, JACKS, CREVALLES, SILVER POMFRETS, ... NES",KGM,SRI LANKA," 32,793.00 "," 770,973.24 "
303590000,"FROZEN INDIAN MACKERELS, SEERFISHES, JACKS, CREVALLES, SILVER POMFRETS, ... NES",KGM,THAILAND," 4,632.00 "," 99,833.50 "
303590000,"FROZEN INDIAN MACKERELS, SEERFISHES, JACKS, CREVALLES, SILVER POMFRETS, ... NES",KGM,VIETNAM," 18,040.90 "," 174,297.38 "
303890012,FROZEN MARLIN,KGM,JAPAN," 7,659.00 "," 329,559.11 "
303890012,FROZEN MARLIN,KGM,NEW TAIWAN," 33,955.00 "," 642,552.08 "
303890012,FROZEN MARLIN,KGM,SRI LANKA," 209,376.00 "," 4,826,017.18 "
303890012,FROZEN MARLIN,KGM,THAILAND," 11,514.00 "," 248,161.24 "
303890012,FROZEN MARLIN,KGM,VIETNAM," 172,947.60 "," 2,564,169.53 "
303890099,FROZEN REEF FISH NES,KGM,NEW TAIWAN, 709.00 ," 15,281.08 "
303890099,FROZEN REEF FISH NES,KGM,SRI LANKA," 18,006.00 "," 357,433.68 "
303890099,FROZEN REEF FISH NES,KGM,VIETNAM," 60,987.60 "," 812,934.69 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,CHINA, 70.16 ," 3,850.82 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,CZECH REPUBLIC," 1,136.11 "," 33,325.76 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,FRANCE," 2,919.32 "," 92,164.44 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,GERMANY, 279.11 ," 52,567.80 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,ITALY," 1,867.23 "," 198,649.93 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,SINGAPORE, 1.56 , 239.73 
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,AUSTRALIA," 1,535.84 "," 251,548.41 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,BELGIUM," 11,018.92 "," 1,520,078.53 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,CAMBODIA, 63.63 ," 1,151.20 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,CANADA," 2,367.27 "," 152,496.07 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,CHINA," 1,116.58 "," 178,695.44 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,CZECH REPUBLIC," 2,027.09 "," 194,240.56 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,FRANCE," 773,419.88 "," 74,565,280.58 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,GERMANY," 485,050.17 "," 46,559,075.87 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,GREAT BRITAIN," 422,853.75 "," 50,973,592.76 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,HONG KONG, 534.98 ," 41,808.26 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,IRELAND," 118,210.92 "," 9,643,770.48 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,ITALY," 285,986.25 "," 25,381,416.12 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,JAPAN," 1,225.14 "," 85,479.56 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,MALAYSIA, 40.80 , 627.67 
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,NETHERLANDS," 6,990.66 "," 422,490.29 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,NEW TAIWAN," 1,699.95 "," 143,743.59 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,NORWAY, 11.85 ," 2,444.20 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,POLAND," 5,298.34 "," 678,620.64 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,REUNION," 1,927.18 "," 59,305.59 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,RUSSIA, 2.96 , 36.49 
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,SAUDI ARABIA, 240.64 ," 4,630.06 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,SINGAPORE, 249.86 ," 62,219.01 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,SOUTH AFRICA," 1,122.05 "," 34,553.03 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,SPAIN," 2,435.89 "," 223,883.69 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,SRI LANKA," 1,428.90 "," 43,569.25 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,SWITZERLAND," 50,729.79 "," 11,979,065.20 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,THAILAND," 4,319.36 "," 126,422.25 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,UNITED ARAB EMIRATES," 20,234.39 "," 3,025,276.82 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,UNITED STATES," 38,447.55 "," 3,486,412.54 "
304491015,SKIPJACK LOIN (FRESH OR CHILLED),KGM,FRANCE, 10.49 ," 1,129.65 "
304491017,BIGEYE TUNA LOINS (FRESH OR CHILLED),KGM,FRANCE," 17,596.68 "," 3,084,233.84 "
304491017,BIGEYE TUNA LOINS (FRESH OR CHILLED),KGM,NETHERLANDS, 271.70 ," 8,368.36 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,AUSTRALIA," 29,579.05 "," 2,221,462.21 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,BELGIUM," 16,185.88 "," 3,134,575.53 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CAMBODIA, 52.18 , 802.74 
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CANADA, 1.62 , 44.87 
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CHINA, 336.70 ," 58,886.25 "
