MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2020,,,* Subjected to Post Modification,, Updated on : 28/02/2021 
,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,UNITED STATES," 1,036.80 "," 63,835.78 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,BELGIUM," 2,223.86 "," 234,506.25 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,CAMBODIA, 681.05 ," 62,954.04 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,CANADA," 15,238.45 "," 3,696,470.81 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,COSTA RICA," 50,009.37 "," 1,703,046.84 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,DENMARK, 39.58 ," 5,665.53 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,EGYPT, 839.74 ," 71,033.61 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,FINLAND, 193.19 ," 5,932.48 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,FRANCE," 846,432.18 "," 69,124,874.75 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,GERMANY," 265,202.68 "," 20,503,564.45 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,GREAT BRITAIN," 129,469.57 "," 10,338,598.31 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,HONG KONG," 1,110.10 "," 124,259.65 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,IRAN (ISLAMIC REPUBLIC OF), 899.55 ," 76,055.90 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,IRELAND," 90,313.52 "," 7,961,465.01 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,ITALY," 345,208.36 "," 36,539,768.46 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,MALAYSIA, 100.97 ," 8,009.15 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,NETHERLANDS," 125,425.74 "," 4,860,479.01 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,POLAND," 16,621.55 "," 1,956,720.00 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SINGAPORE, 20.25 ," 3,289.26 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SOUTH AFRICA," 1,259.43 "," 38,756.51 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SPAIN," 1,421.75 "," 47,471.95 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SRI LANKA," 25,038.29 "," 192,807.74 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SWITZERLAND," 101,569.27 "," 15,116,631.30 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,THAILAND," 77,928.75 "," 1,181,903.67 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UKRAINE, 190.10 ," 47,955.04 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 7,540.41 "," 836,606.93 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UNITED STATES," 25,823.57 "," 1,860,598.58 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,VIETNAM," 27,000.00 "," 560,682.67 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,FRANCE, 28.52 ," 4,114.90 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,GERMANY," 1,174.26 "," 99,524.41 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,GREAT BRITAIN, 190.05 ," 4,387.38 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,IRAN (ISLAMIC REPUBLIC OF)," 1,948.51 "," 164,931.70 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,IRELAND," 2,921.72 "," 247,309.14 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,ITALY, 856.50 ," 19,749.97 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,THAILAND, 245.00 ," 5,358.80 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 3,050.59 "," 50,512.27 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,AUSTRALIA," 1,542.82 "," 86,679.63 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,BELGIUM," 8,076.09 "," 1,326,906.56 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,BRAZIL, 496.89 ," 88,176.96 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CANADA, 817.83 ," 50,298.64 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CYPRUS," 3,242.96 "," 140,410.36 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,DENMARK," 2,650.61 "," 141,358.33 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,FINLAND, 514.76 ," 15,807.25 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,FRANCE," 327,263.69 "," 32,604,181.35 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GERMANY," 244,641.14 "," 23,643,723.91 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GREAT BRITAIN," 26,543.84 "," 849,272.00 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,HONG KONG, 552.42 ," 26,920.47 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,ITALY," 317,252.42 "," 31,196,391.43 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,JAPAN, 318.49 ," 21,472.38 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,MALAYSIA, 507.98 ," 34,743.99 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,NETHERLANDS," 49,059.22 "," 5,145,479.26 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,POLAND," 27,353.66 "," 2,492,921.55 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SPAIN, 761.07 ," 20,019.76 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SRI LANKA, 269.38 ," 5,176.03 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SWITZERLAND," 113,403.51 "," 9,579,083.44 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,THAILAND," 6,511.97 "," 572,807.89 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UKRAINE," 1,329.55 "," 229,741.25 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 5,825.30 "," 251,125.62 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED STATES," 43,269.54 "," 2,966,572.69 "
304491020,MINCED YELLOWFIN TUNA (FRESH OR CHILLED),KGM,MALAYSIA, 37.75 ," 1,720.29 "
304491020,MINCED YELLOWFIN TUNA (FRESH OR CHILLED),KGM,UNITED STATES," 84,786.31 "," 1,639,681.48 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,FRANCE," 1,326.94 "," 208,927.18 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,GERMANY," 47,631.34 "," 3,330,742.90 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,GREAT BRITAIN, 13.78 ," 1,703.21 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,ITALY, 5.32 , 361.54 
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,MALAYSIA," 1,000.00 "," 21,982.68 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,SRI LANKA, 5.29 , 81.36 
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,SWITZERLAND, 81.61 ," 13,481.37 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,THAILAND, 372.70 ," 29,586.28 "
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,FRANCE, 10.11 , 684.56 
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,GERMANY, 224.07 ," 14,571.28 "
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,ITALY, 67.57 ," 4,584.50 "
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,SWITZERLAND, 1.01 , 99.48 
304499014,GROUPER LOIN (FRESH OR CHILLED),KGM,TAIWAN, 750.00 ," 17,302.50 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,FRANCE," 3,440.23 "," 179,273.33 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,GERMANY, 267.87 ," 15,266.35 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,GREAT BRITAIN, 108.73 ," 4,049.43 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,ITALY, 287.84 ," 16,206.62 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,NETHERLANDS, 5.14 , 237.12 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,SRI LANKA, 866.00 ," 13,321.94 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,SWITZERLAND, 5.06 , 560.32 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,THAILAND, 76.93 ," 7,650.45 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,UNITED ARAB EMIRATES, 14.95 ," 1,149.09 "
304591099,"OTHER TUNA (FRESH OR CHILLED) FISH MEAT OTHER THAN FILLETS, NES",KGM,GERMANY, 4.43 , 220.79 
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,MALAYSIA, 465.00 ," 16,236.86 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,UNITED STATES," 64,070.25 "," 1,329,531.97 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,FRANCE," 701,650.52 "," 34,645,000.49 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,HONG KONG, 16.00 , 24.61 
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,IRELAND," 1,274.73 "," 107,794.43 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,ITALY," 275,736.36 "," 26,722,005.81 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SERBIA," 30,000.00 "," 1,935,119.33 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SPAIN," 113,000.00 "," 2,370,088.48 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SRI LANKA," 73,153.75 "," 2,070,537.53 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,THAILAND," 458,993.33 "," 12,267,761.29 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,UNITED ARAB EMIRATES," 3,500.00 "," 53,865.00 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,UNITED STATES," 2,720.66 "," 47,693.52 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,VIETNAM," 27,024.36 "," 4,133,768.25 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,COSTA RICA," 38,031.00 "," 3,512,693.68 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,PHILIPPINES," 8,450.00 "," 280,702.90 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,SPAIN," 155,000.00 "," 7,700,490.04 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,CANADA," 54,742.07 "," 10,816,203.08 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,FRANCE, 410.72 ," 13,849.27 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,INDIA, 2.00 , 30.76 
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,JAPAN, 50.00 , 768.88 
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,MALAYSIA," 1,365.00 "," 43,251.13 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,SRI LANKA, 2.66 , 40.92 
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,UNITED STATES, 5.67 , 183.91 
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,VIETNAM," 17,780.00 "," 2,724,148.98 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,DENMARK, 542.76 ," 26,931.90 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,FRANCE," 100,000.00 "," 768,284.00 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,GREAT BRITAIN," 23,035.36 "," 200,931.26 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,MALAYSIA," 1,025.00 "," 71,339.26 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,SPAIN, 248.35 ," 11,453.28 "
